기관,대분류 테마,중분류 테마,해당 문장 발췌,,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,기술 확보 및 R&D 역량 강화,"""차세대 원자로 개발하는 데 있어서 협력할 수 있는 분야가 되게 많았다고 치면""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,기술 확보 및 R&D 역량 강화,"""연구용 원자로라는 거는 일반 전기 생산하는 거랑은 달리 그러니까 어떤 목적을 가지고 연구용으로 원자로를 예를 들어서 설계를 한다 원자로라는 거예요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,기술 확보 및 R&D 역량 강화,"""앞으로 차세대는 사실은 해 나가야 될게 되게 많거든요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,기술 확보 및 R&D 역량 강화,"""저희가 2012년에 그 기술을 개발해서 인허가까지 받았어요. 근데 실제로 수출하려면 그냥 설계도나 문서만으론 안 되고, 진짜 만들어서 실증까지 해봐야 하잖아요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,자원 확보 및 접근성,해당 없음,,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,글로벌 공동 문제 해결,"""저희가 또 중요하게 하는 게 우주용 원자로를 요새 많이 하거든요. 동위원소를 활용해서 추진용 발사체에 넣고,""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,글로벌 공동 문제 해결,"""방사선을 하는 사람들은 원자로 발전 전기 생산하는 데는 전혀 관심이 없어요""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,글로벌 공동 문제 해결,"""기장에 짓고 있는 건 서울대병원과 협력하는 프로젝트로, 암 치료에 쓰이는 방사성 동위원소 같은 걸 생산할 계획이에요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,국제 표준 선도 및 규범 형성,"""앞으로 이런 차세대 원전 '룰'을 결정하는 국제 규정 (norm)을 세우는 과정에서 우리가 주도권을 잡기는 점점 더 어렵습니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,국제 표준 선도 및 규범 형성,"""지금 iaea에서 하려고 하고 있죠. 주도를 하려고 하고 있죠.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,국제 표준 선도 및 규범 형성,"""지금처럼 변화가 많은 시기에는 '놈 세팅(norm setting)', 즉 국제 규범이나 표준을 누가, 어떻게 정하느냐가 정말 중요합니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,국제 표준 선도 및 규범 형성,"""이렇게 사전에 세워진 놈 하나하나가 실제로는 우리에게 엄청난 영향을 끼치곤 합니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,국제 표준 선도 및 규범 형성,"""실은 다자외교라는 게 겉보기엔 지루하고 말도 길어서 실질적 의미가 없어 보이지만, 그런 자리에서 국제 규범을 누가 주도하느냐에 따라 국익이 갈리는 경우가 정말 많습니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,해외 시장 진출 및 기술 사업화,"""그래서 빌게이츠가 테라파워하는 것, 이게 민간 사업 되다 보니 지적 재산권 이슈가 되는 것 이고""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,해외 시장 진출 및 기술 사업화,"""그래서 저희가 또 최근에 미국의 빌게이츠가 만든 민간 업체 테라파워하고 저희가 기술 수출을 했거든요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,해외 시장 진출 및 기술 사업화,"""저희가 4월에 또 미국에 그래서 연구용 원자로를 팔기로 했거든요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,해외 시장 진출 및 기술 사업화,"""연구용 원자로를 수출한다는 것 자체가 영리 사업이거든요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,해외 시장 진출 및 기술 사업화,"""미국은 한국이 경쟁자지 산업 분야에 있어서 경쟁자라 협력하고 싶지 않은 거죠.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,해외 시장 진출 및 기술 사업화,"""개발한 원자로들을 세일즈를 많이 할 수 있어야 되는데 연구 기관은 또 세일즈 하기는 또 어렵잖아요. 저희는 회사가 아니니까.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,해외 시장 진출 및 기술 사업화,"""이번에 저희가 미주리에서 연구용 원자로 사업을 하나 수주했잖아요. 이런 사업들이 실제로 추진된다면, 만약에 지주회사를 만들었을 때 KAERI가 직접 뛰어들 수 있는 기반이 될 수도 있을 것 같아요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,해외 시장 진출 및 기술 사업화,"""요즘 원자력 분야 국제 협력의 트렌드는 점점 산업과 민관 협력이 중심이 되는 것 같아요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,과학기술 외교 및 국가 위상 제고,"""그 다음에 올해 3월 5월 6월 미국에 갔었던 것도 처음에 민감 국가 이슈가 터지고 나서 미국 doa 찾아가서 그 민감 국가 위치는 산업 이슈면 연구 협력을 계속해야 되지 않냐 그래서 좀 doa가 도와줘야 되지 않냐""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,과학기술 외교 및 국가 위상 제고,"""그리고 그게 양국이 지금 말씀하신 대로 지금 정부에서 국제 협력을 계속 확대하고 있는데 너무 이미지가 좋지 않다라고 해서""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,과학기술 외교 및 국가 위상 제고,"""다자 외교 분야에 있어서 한국이 굉장히 에티튜드가 그 뭐라 그래야 되지 주도권을 갖지 못하는 게 되게 많아요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,과학기술 외교 및 국가 위상 제고,"""아마 그런 차원에서 우리가 영향력을 조금 그쪽에서 할 수 있는 부분이 생기지 않을까라고 해서 저희는 앞으로는 좀 약간 다자 외교에 좀 더 힘을 쏟아야겠다 생각을 하고 있습니다.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,1. 국제협력의 동인 및 목표,과학기술 외교 및 국가 위상 제고,"""사실 이런 자리에서 한국이 미국처럼 자기 주장을 강하게 펴기란 쉽지 않고, 그래서 주도권을 잘 잡지 못하는 경우가 많아요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,공동 연구,"""사실 사우디한테 천억을 받아서 같이 공동으로 설계한 소형모듈원자로(SMR, Small Modular Reactor) 이 있어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,공동 연구,"""공동 연구 같은 경우에는 과기부 R&D 중 글로벌 R&D로 잡힐 텐데""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,공동 연구,"""그러니까 한미 분야에서는 공동 연구 사업,""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,공동 연구,"""그래서 지금 저희 연구원 전체를 총괄로 봤을 때 공동 연구 사업이 돌아가는 게 거의 없어요.""",,,,,,,,,,,,,,,,,,,,,,
KAERI,2. 국제협력의 유형 및 방식,공동 연구,"""한국이랑 미국 아이다호국립연구소(INL) 사이에 10년 넘게 이어지고 있는 JPCS(Joint Fuel Cycle Studies, 공동연료주기연구)라는 장기적인 공동 연구가 하나가 있고""",,,,,,,,,,,,,,,,,,,,,,
